table,form,weighting,pre_vol_control,covariance,formula,term,coefficient,se,t,p,ci_low,ci_high,n,r_squared
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q4],0.02604624892140702,0.004695329683616106,5.547267322312394,2.377041466324055e-05,0.01621881095022116,0.03587368689259288,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q1],0.028810289070316592,0.010981703296590015,2.6234809202378124,0.0167247180849798,0.005825319912178668,0.051795258228454516,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q2],0.039316601079642854,0.003930522341750484,10.002894694686544,5.238544465335194e-09,0.031089923271969813,0.047543278887315896,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q3],0.014903959403090602,0.004362899026718283,3.4160679199356054,0.0028972045538606813,0.005772306793214638,0.024035612012966567,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q4],0.018176694410078593,0.010026988144851605,1.8127770919337811,0.0856980285798752,-0.0028100329703627594,0.039163421790519945,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2024Q1],0.028165215771863934,,,,,,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2024Q2],0.07329531272498442,0.011367840271705816,6.447602268604536,3.5169389671996975e-06,0.049502149589632664,0.09708847586033617,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2024Q3],0.024409152102683684,,,,,,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2024Q4],0.029597274762690997,0.010415871195434818,2.8415553732714374,0.010433206856196496,0.0077966058030272956,0.0513979437223547,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2025Q1],0.029099529638177423,0.005836264534636512,4.985985379086277,8.202761906551374e-05,0.01688408757929309,0.041314971697061754,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2025Q2],0.03942540507919147,,,,,,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2025Q3],0.008063063888101261,0.009523490092906785,0.846650105102407,0.40772801452783275,-0.01186982995827186,0.027995957734474382,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2025Q4],0.005612339228966607,0.0012165664590180634,4.613261517580007,0.0001896846695631431,0.0030660363664554604,0.008158642091477753,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Negative_proportional_z,-0.003197859411254502,0.0028475249608745346,-1.1230312131389966,0.2754150176188174,-0.009157797649892982,0.002762078827383977,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),log_pre_vol,-0.03165075991739688,0.016769903991351663,-1.887354867011723,0.07448565059336153,-0.06675057236141382,0.003449052526620054,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),log_size,-0.001042256434457308,0.00208902135839682,-0.4989209087154418,0.6235623160375542,-0.005414628387754573,0.003330115518839957,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),log_turnover,0.014552613896560469,0.008403010735914592,1.731833309978099,0.09950789996765512,-0.0030350897031600366,0.032140317496280976,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),log_words,0.0003407887011565477,0.007947768195863594,0.042878540586263045,0.9662457686210452,-0.01629408131164728,0.016975658713960375,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),pre_return,0.013836989360762223,0.023399518280381438,0.5913365050922179,0.5612651210936168,-0.03513876526164307,0.06281274398316751,1002,0.04049681663850446
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Intercept,3.015531621083415,0.8429661170923178,3.5772868682848467,0.0020096345266835173,1.251183260958023,4.779879981208808,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(form)[T.10-Q],0.1038872098281063,0.04789071659881825,2.1692556972653403,0.04295630478887529,0.003650788003928429,0.20412363165228417,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q2],-0.19673448107217942,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q3],-0.10705119590243753,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q4],0.28450324457411796,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q1],0.31826837549298853,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q2],0.23695448601949104,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q3],0.09726880699772558,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q4],0.09378556083146038,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q1],-0.0440436967892534,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q2],-0.1048742310274306,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q3],-0.1343508125650264,,,,,,1002,0.6124435199712421
Table 5,Pooled,tfidf,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_tfidf_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2023Q4],-0.01885599829445892,,,,,,1002,0.6124435199712421
